	stt	time	v	v-bs	fit
	stt0	time0	v0	v-bs0	fit0
1	[]	2402.506	340	229	[0.9866666666666667, 'NULL', 0.9644444444444444, 'NULL', 0.96, 'NULL', 0.9866666666666667, 0.9688888888888889, 0.9644444444444444, 'NULL', 0.9866666666666667, 'NULL', 0.9866666666666667, 0.9866666666666667, 0.9555555555555556, 'NULL', 0.9911111111111112, 0.9911111111111112, 'NULL', 0.9866666666666667, 0.9688888888888889, 0.9866666666666667, 0.9866666666666667, 0.9911111111111112, 0.96, 'NULL', 0.9866666666666667, 0.9911111111111112, 'NULL', 'NULL', 'NULL', 0.9822222222222222, 'NULL', 'NULL']
2	['found']	53.731	60	41	[0.96875, 0.90625, 0.96875, 0.96875, 0.9375, 1.0]
3	['timeout']	2401.051	1350	863	['NULL', 'NULL', 0.8968253968253969, 0.9920634920634921, 0.9682539682539683, 0.9682539682539683, 'NULL', 0.9682539682539683, 0.9761904761904762, 'NULL', 'NULL', 0.9761904761904762, 0.9761904761904762, 0.9682539682539683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9920634920634921, 'NULL', 0.9761904761904762, 0.9920634920634921, 'NULL', 'NULL', 'NULL', 0.9682539682539683, 0.9761904761904762, 0.9920634920634921, 0.9682539682539683, 'NULL', 0.9682539682539683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9682539682539683, 'NULL', 'NULL', 0.9920634920634921, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9682539682539683, 'NULL', 0.9920634920634921, 'NULL', 'NULL', 'NULL', 0.9920634920634921, 'NULL', 'NULL', 0.9920634920634921, 0.9682539682539683, 0.9682539682539683, 'NULL', 'NULL', 'NULL', 'NULL', 0.9920634920634921, 'NULL', 'NULL', 0.9920634920634921, 'NULL', 'NULL', 'NULL', 0.9920634920634921, 0.9920634920634921, 'NULL', 0.9682539682539683, 'NULL', 0.9920634920634921, 'NULL', 'NULL', 'NULL', 'NULL', 0.9920634920634921, 0.9682539682539683, 'NULL', 0.9920634920634921, 'NULL', 0.9920634920634921, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9682539682539683, 'NULL', 0.9920634920634921, 0.9682539682539683, 0.9682539682539683, 'NULL', 'NULL', 0.9920634920634921, 0.9682539682539683, 'NULL', 'NULL', 0.9841269841269841, 'NULL', 0.9920634920634921, 'NULL', 'NULL', 'NULL', 0.9920634920634921, 'NULL', 'NULL', 0.9920634920634921, 0.9682539682539683, 'NULL', 'NULL', 0.9682539682539683, 0.9682539682539683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9920634920634921, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9682539682539683, 'NULL', 0.9920634920634921, 'NULL', 0.9682539682539683]
4	['timeout']	2310.952	1170	937	['NULL', 'NULL', 0.7555555555555555, 'NULL', 0.7555555555555555, 0.7555555555555555, 0.4444444444444444, 'NULL', 0.7555555555555555, 0.9666666666666667, 0.7, 0.7555555555555555, 0.8333333333333334, 0.7888888888888889, 0.9333333333333333, 0.7333333333333333, 0.8333333333333334, 0.2111111111111111, 0.8333333333333334, 0.7777777777777778, 'NULL', 0.15555555555555556, 'NULL', 'NULL', 'NULL', 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 'NULL', 'NULL', 0.7333333333333333, 'NULL', 0.9333333333333333, 'NULL', 0.45555555555555555, 0.6, 'NULL', 'NULL', 0.9333333333333333, 0.9333333333333333, 'NULL', 'NULL', 0.17777777777777778, 0.9666666666666667, 'NULL', 0.9333333333333333, 'NULL', 'NULL', 'NULL', 0.5, 0.9333333333333333, 0.9111111111111111, 'NULL', 'NULL', 'NULL', 'NULL', 0.5, 0.4888888888888889, 0.7555555555555555, 0.7555555555555555, 'NULL', 0.9333333333333333, 'NULL', 'NULL', 0.9333333333333333, 0.9333333333333333, 0.0, 'NULL', 0.9222222222222223, 0.9666666666666667, 'NULL', 'NULL', 'NULL', 0.8333333333333334, 0.9555555555555556, 0.17777777777777778, 0.7666666666666667, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.0, 0.9666666666666667, 0.9666666666666667, 'NULL', 'NULL', 0.7666666666666667, 0.9666666666666667, 'NULL', 'NULL', 'NULL', 'NULL', 0.4888888888888889, 0.9666666666666667, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.24444444444444444, 'NULL', 'NULL', 'NULL', 'NULL', 0.4888888888888889, 'NULL', 0.17777777777777778, 0.4888888888888889, 'NULL', 'NULL', 'NULL', 'NULL', 0.15555555555555556]
5	['timeout']	2219.79	280	171	[0.9976525821596244, 'NULL', 0.9976525821596244, 0.9953051643192489, 0.9976525821596244, 'NULL', 0.9976525821596244, 'NULL', 'NULL', 0.9389671361502347, 'NULL', 'NULL', 0.9953051643192489, 'NULL', 0.9976525821596244, 'NULL', 0.9976525821596244, 0.9929577464788732, 'NULL', 0.9953051643192489, 'NULL', 'NULL', 0.9976525821596244, 0.9859154929577465, 0.9976525821596244, 0.9976525821596244, 0.9929577464788732, 0.9929577464788732]
6	['timeout']	2245.704	390	274	[0.8153153153153153, 0.7702702702702703, 'NULL', 0.6351351351351351, 0.7702702702702703, 0.8153153153153153, 'NULL', 0.7702702702702703, 0.8153153153153153, 'NULL', 0.8153153153153153, 0.8153153153153153, 0.8153153153153153, 0.7657657657657657, 0.8153153153153153, 'NULL', 'NULL', 'NULL', 0.8153153153153153, 0.7972972972972973, 0.8153153153153153, 0.8153153153153153, 0.8153153153153153, 'NULL', 'NULL', 0.8153153153153153, 0.8153153153153153, 0.8153153153153153, 0.8153153153153153, 0.6306306306306306, 0.8153153153153153, 0.8108108108108109, 0.8153153153153153, 'NULL', 'NULL', 0.8153153153153153, 0.8153153153153153, 'NULL', 0.8063063063063063]
7	['timeout']	2239.589	1090	669	[0.8148148148148148, 0.5555555555555556, 0.9629629629629629, 0.6666666666666666, 0.8518518518518519, 0.8148148148148148, 0.6666666666666666, 0.8518518518518519, 0.8518518518518519, 0.8518518518518519, 0.9629629629629629, 0.9629629629629629, 0.7777777777777778, 0.9629629629629629, 0.7777777777777778, 'NULL', 0.9629629629629629, 0.9629629629629629, 0.7777777777777778, 0.9629629629629629, 0.9629629629629629, 0.14814814814814814, 0.9629629629629629, 0.8518518518518519, 0.6296296296296297, 0.9629629629629629, 'NULL', 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.8888888888888888, 'NULL', 0.6666666666666666, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9259259259259259, 0.9259259259259259, 0.9629629629629629, 0.7407407407407407, 0.8518518518518519, 'NULL', 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 'NULL', 0.8888888888888888, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.7037037037037037, 0.9629629629629629, 0.9629629629629629, 0.25925925925925924, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.8148148148148148, 0.9629629629629629, 0.7407407407407407, 0.9629629629629629, 0.9629629629629629, 0.7407407407407407, 0.9629629629629629, 0.9629629629629629, 0.7407407407407407, 0.7777777777777778, 0.6296296296296297, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.6666666666666666, 0.7777777777777778, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.7777777777777778, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.9629629629629629, 0.14814814814814814, 0.6666666666666666, 0.7777777777777778]
8	['found']	31.69	90	60	[0.9375, 0.9375, 'NULL', 0.9375, 0.375, 'NULL', 0.9375, 'NULL', 1.0]
9	['found']	264.145	880	623	['NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.0, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 'NULL', 'NULL', 'NULL', 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 'NULL', 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 'NULL', 'NULL', 0.0, 'NULL', 0.9705882352941176, 'NULL', 0.9705882352941176, 'NULL', 'NULL', 'NULL', 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 'NULL', 'NULL', 'NULL', 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 'NULL', 'NULL', 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 'NULL', 'NULL', 0.9705882352941176, 'NULL', 'NULL', 0.9705882352941176, 'NULL', 'NULL', 0.9705882352941176, 0.9705882352941176, 0.9705882352941176, 'NULL', 'NULL', 'NULL', 0.9705882352941176, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 1.0]
